OPERATORE,DATA,STATO ATTIVAZIONE,COMUNE,PROVINCIA,ETRS89EST,ETRS89NORD
ILIAD ITALIA,2020 March 31,DA REALIZZARE,CAMINO AL TAGLIAMENTO,UD,340736.7,5088255.9
VODAFONE OMNITEL,2020 April 03,DA REALIZZARE,LIGNANO SABBIADORO,UD,355394.7,5061174.9
ILIAD ITALIA,2020 April 02,DA REALIZZARE,RONCHIS,UD,346143.3,5074837.2
ILIAD ITALIA,2020 March 26,DA REALIZZARE,REANA DEL ROIALE,UD,364133.8,5112219.6
ILIAD ITALIA,2020 March 31,DA REALIZZARE,CORMONS,GO,380903.6,5089329.3
ILIAD ITALIA,2020 April 03,DA REALIZZARE,CORDENONS,PN,322019.9,5094237.1
WIND-TRE,2020 April 07,DA REALIZZARE,MONTEREALE VALCELLINA,PN,317907,5112982.8
ILIAD ITALIA,2020 March 19,DA REALIZZARE,STARANZANO,GO,382997.4,5072563.8
WIND-TRE,2019 March 26,REALIZZATO,LIGNANO SABBIADORO,UD,351625.9,5059692.4
ILIAD ITALIA,2020 April 07,DA REALIZZARE,ZOPPOLA,PN,327315.7,5092370
WIND-TRE,2019 June 03,REALIZZATO,GRADO,GO,374694,5059937
WIND-TRE,2019 July 10,REALIZZATO,SPILIMBERGO,PN,337598.3,5108688.8
TELECOM ITALIA MOBILE,2003 April 23,REALIZZATO,MALBORGHETTO VALBRUNA,UD,377669.1,5151182.8
WIND-TRE,2019 April 23,REALIZZATO,ZOPPOLA,PN,329506.3,5092538.2
WIND-TRE,2019 April 02,REALIZZATO,CHIONS,PN,326901.8,5081596.3
WIND-TRE,2019 August 22,REALIZZATO,CLAUZETTO,PN,340042.8,5123371.3
WIND-TRE,2019 August 22,REALIZZATO,BARCIS,PN,312698.3,5118422.6
WIND-TRE,2019 June 10,REALIZZATO,SAN GIORGIO DELLA RICHINVELDA,PN,335628,5101644.7
ILIAD ITALIA,2018 March 01,REALIZZATO,SAN DORLIGO DELLA VALLE,TS,408662.9,5051276.1
WIND-TRE,2019 April 19,REALIZZATO,CHIONS,PN,322008.2,5079886.6
